Make,Model,Series,Trim,Engine model,Environmetal standard,Potencia(cm3),Engine Power(bhp),Torque(Nm),Engine Type,No of Cylinders,Fuel,Max speed (km/h),Payload,Amount of gear,Curb vehicle weight(kg),Gross vehicle weight(kg),Engine power at rpm (min-1),Torque at rpm (min-1)
BAW,Fenix,Fenix 33468,33468,Cummins ISF3.8s4R168,EURO IV,3760,170,600,Diesel,4,Diesel ,,,6,4900,11900,2600,1700
Daewoo,Ultra Novus,Ultra Novus,K4DVF,,EURO IV,14168,390,,Diesel,,Diesel ,96,26000,6,,,,
GAZ,Next GAZ,Gazon Next,C41R11,Cummins ISF 3.8 e4R,EURO IV,3760,152,497,Diesel,4,Diesel ,100,5000,5,,8700,2600,1200
Howo,Dumpers,ZZ3407S3867P,ZZ3407S3867P,D10.38,EURO IV,9726,380,,Diesel,6,Diesel ,,35000,,18400,53400,,
Hyundai,New Power Truck,H300,4x2 onboard,D6HA,EURO IV,11000,300,,Diesel,,Diesel ,,10000,,,,,
Hyundai,Trago,Trago,11.0D ,D6HA,EURO IV,11000,300,,Diesel,,Diesel ,,11500,,,,,
Hyundai,Xcient,Xcient 8x4,D6CC,D6CC,EURO IV,12344,380,1730,Diesel,6,Diesel ,,,,10140,43200,1900,1200
Isuzu,Elf,Elf,NLR85R,4JJ1,EURO IV,2999,124,354,Diesel,,Diesel ,,1500,5,2000,3500,2600,1500
Isuzu,Elf,Elf,NMR85H,4JJ1,EURO IV,2999,124,354,Diesel,,Diesel ,,,5,2196,3500,2600,1500
Isuzu,Elf,Elf,NMR85H (5.2t),4JJ1,EURO IV,2999,124,354,Diesel,,Diesel ,,3000,5,2196,5200,2600,1500
Isuzu,Elf,Elf,NPR75L-K,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,4665,6,2835,7500,2600,1600
Isuzu,Elf,Elf,NPR5L-L,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,4640,6,2860,7500,2600,1600
Isuzu,Elf,Elf,NPR75L-M,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,4630,6,2870,7500,2600,1600
Isuzu,Elf,Elf,NQR90L-K,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,6460,6,3040,9500,2600,1600
Isuzu,Elf,Elf,NQR90L-L,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,6420,6,3040,9500,2600,1600
Isuzu,Elf,Elf,NQR90L-M,4HK1,EURO IV,5193,155,419,Diesel,,Diesel ,,6400,6,3040,9500,2600,1600
Isuzu,Elf,Elf,QL 1100,4HK1-TC,EURO IV,5193,175,,Diesel,,Diesel ,,5800,6,3980,9975,2500,
Isuzu,Elf,Elf,QL5100,4HK1-TC,EURO IV,5193,175,,Diesel,6,Diesel ,,5000,6,4560,9500,2500,
Isuzu,Forward,Forward,FSR90SL-NCUS,4HK1,EURO IV,5193,210,706,Diesel,6,Diesel ,,8165,6,3835,,2600,1600
Isuzu,Forward,Forward,FSR90SL-PCUS,4HK1,EURO IV,5193,210,706,Diesel,6,Diesel ,,8155,6,3845,12000,2600,1600
